user_id,age,gender,location,channel_name,category,channel_followers,channel_total_likes,channel_total_shares,channel_total_reposts,user_rating,watch_time_sec,interaction_score,last_watch_date
U001,50,Female,HCM,@english_daily,Education,2085683,22029838,365666,146266,2,21,0.134,11/15/2025
U001,50,Female,HCM,@lienquan_mobile,Gaming,6454966,80971801,1836159,734463,5,584,0.883,11/24/2025
U001,50,Female,HCM,@duytham,Tech,5390827,61607220,1121879,448751,1,9,0.039,11/25/2025
U001,50,Female,HCM,@music_trending_vn,Music,3625739,37471871,393496,157398,5,401,0.98,11/30/2025
U001,50,Female,HCM,@khoapug,Travel,5137163,54857798,1496626,598650,4,171,0.661,11/16/2025
U001,50,Female,HCM,@chanhtuoireview,Travel,2721741,37674505,775053,310021,1,28,0.201,11/15/2025
U001,50,Female,HCM,@pet_cute_vn,Pets,3757230,67409072,892566,357026,2,16,0.098,11/2/2025
U001,50,Female,HCM,@kenh14_news,News,5144898,107675787,1939303,775721,2,9,0.188,11/2/2025
U001,50,Female,HCM,@vatvo_studio,Tech,4553155,68601295,1017022,406808,3,54,0.466,11/1/2025
U001,50,Female,HCM,@changmakeup,Beauty,5054786,53112097,1508819,603527,2,7,0.155,11/23/2025
U001,50,Female,HCM,@manchester_vn,Sports,4921955,89810131,1229895,491958,4,63,0.824,11/5/2025
U001,50,Female,HCM,@ciin_dance,Dance,4416257,81453937,1378244,551297,4,96,0.765,11/4/2025
U001,50,Female,HCM,@haithoai_tv,Comedy,3913344,58851980,1163047,465218,5,243,0.861,11/26/2025
U001,50,Female,HCM,@nhay_cung_idol,Dance,2962202,30938161,893025,357210,3,36,0.484,11/30/2025
U001,50,Female,HCM,@pubg_mobile_vn,Gaming,4306025,100984402,2477906,991162,3,59,0.55,11/5/2025
U002,15,Other,Hanoi,@nauan_cung_toi,Food,1843898,20850579,485528,194211,1,27,0.359,11/15/2025
U002,15,Other,Hanoi,@netflix_vn,Movie,5523782,119424477,2483357,993342,5,288,0.938,11/26/2025
U002,15,Other,Hanoi,@manchester_vn,Sports,4921955,89810131,1229895,491958,4,103,0.689,11/30/2025
U002,15,Other,Hanoi,@khoapug,Travel,5137163,54857798,1496626,598650,1,4,0.346,11/13/2025
U002,15,Other,Hanoi,@hongocha,Music,6074570,95811027,1603990,641596,3,41,0.473,11/20/2025
U002,15,Other,Hanoi,@giadinh_cam,Vlog,3388037,42069510,868121,347248,2,13,0.352,11/23/2025
U002,15,Other,Hanoi,@pet_cute_vn,Pets,3757230,67409072,892566,357026,1,7,0.222,11/2/2025
U002,15,Other,Hanoi,@1977vlog,Comedy,4643578,110004314,1181951,472780,4,90,0.825,11/8/2025
U003,39,Male,HaiPhong,@lienquan_mobile,Gaming,6454966,80971801,1836159,734463,3,59,0.422,11/24/2025
U003,39,Male,HaiPhong,@batdongsan_thucte,RealEstate,1614492,18481707,275210,110084,1,26,0.217,11/6/2025
U003,39,Male,HaiPhong,@bacsi_chinhminh,Health,3604597,87810243,2039008,815603,5,207,0.852,11/23/2025
U003,39,Male,HaiPhong,@pet_cute_vn,Pets,3757230,67409072,892566,357026,3,54,0.577,11/23/2025
U003,39,Male,HaiPhong,@lichsu_vietnam,Education,1877074,39076903,832885,333154,3,55,0.462,11/12/2025
